ano,concelho,freguesia,data_inicio,hora_inicio,minutos_inicio,data_fim,hora_fim,minutos_fim,area_arborizada,area_nao_arborizada,area_total,causa
1986,"ALCACER DO SAL","SANTA MARIA DO CASTELO-ALC SAL",1986/11/02,14,13,1986/11/02,16,50,1,0,1,2
1986,"FIGUEIRA DA FOZ","VILA VERDE",1986/10/21,19,30,1986/10/21,20,45,0,1,1,12
1986,CANTANHEDE,CANTANHEDE,1986/10/19,23,0,1986/10/19,23,50,0,1.5,1.5,12
1986,LAGOS,ODIAXERE,1986/10/13,11,50,1986/10/13,13,30,0,3,3,12
1986,ANADIA,"AVELÃS DE CAMINHO",1986/10/11,18,30,1986/10/11,19,15,0,0.1,0.1,12
1986,AGUEDA,AGUEDA,1986/10/11,13,25,1986/10/11,14,25,0,0.2,0.2,12
1986,ALBERGARIA-A-VELHA,ALBERGARIA-A-VELHA,1986/10/11,14,0,1986/10/11,16,0,0,1.7,1.7,12
1986,COIMBRA,CERNACHE,1986/10/11,13,13,1986/10/11,15,0,2,0,2,12
1986,ANADIA,"VILA NOVA DE MONSARROS",1986/10/11,16,30,1986/10/11,16,50,0,0.1,0.1,12
1986,ALMEIRIM,"FAZENDAS DE ALMEIRIM",1986/10/11,16,30,1986/10/11,19,0,8,0,8,12
1986,FUNDÃO,"PERO VISEU",1986/10/10,12,30,1986/10/10,15,15,0.5,1,1.5,12
1986,"VILA DO BISPO","VILA DO BISPO",1986/10/10,18,30,1986/10/10,20,0,0,3,3,12
1986,"PEDROGÃO GRANDE","PEDROGÃO GRANDE",1986/10/09,18,35,1986/10/09,19,30,0.1,0,0.1,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/10/09,15,30,1986/10/09,17,0,0.1,0.1,0.2,12
1986,LAGOS,"LAGOS (SANTA MARIA)",1986/10/09,12,45,1986/10/09,13,45,0,0.1,0.1,1
1986,"VILA DO BISPO","VILA DO BISPO",1986/10/09,18,30,1986/10/09,22,30,0,2,2,12
1986,ALMEIRIM,"FAZENDAS DE ALMEIRIM",1986/10/09,4,30,1986/10/09,19,0,7,1,8,1
1986,COIMBRA,EIRAS,1986/10/09,14,25,1986/10/09,15,0,0.1,0.1,0.2,12
1986,COIMBRA,BRASFEMES,1986/10/09,13,26,1986/10/09,15,0,0,0.1,0.1,12
1986,"PEDROGÃO GRANDE","PEDROGÃO GRANDE",1986/10/09,21,0,1986/10/09,22,45,0.1,0,0.1,12
1986,POMBAL,POMBAL,1986/10/09,1,0,1986/10/09,2,30,0.2,0,0.2,12
1986,MANGUALDE,"FORNOS DE MACIEIRA DÃO",1986/10/08,15,25,1986/10/08,17,30,0,0.1,0.1,12
1986,"FIGUEIRA DA FOZ","VILA VERDE",1986/10/08,15,30,1986/10/08,16,5,0,0.1,0.1,12
1986,"SÃO PEDRO DO SUL","SANTA CRUZ DA TRAPA",1986/10/08,5,30,1986/10/08,7,10,0.2,0.3,0.5,12
1986,"FIGUEIRA DA FOZ",ALHADAS,1986/10/08,6,30,1986/10/08,7,25,0.1,0,0.1,12
1986,SOURE,SAMUEL,1986/10/08,15,30,1986/10/08,17,20,3,0,3,12
1986,MIRA,MIRA,1986/10/08,19,57,1986/10/08,20,20,0,0.1,0.1,12
1986,"AGUIAR DA BEIRA","SOUTO DE AGUIAR DA BEIRA",1986/10/07,16,30,1986/10/07,17,15,0,0.1,0.1,12
1986,"VILA DO BISPO","VILA DO BISPO",1986/10/07,19,30,1986/10/07,21,0,0,1,1,12
1986,SILVES,"SÃO BARTOLOMEU DE MESSINES",1986/10/07,15,10,1986/10/07,16,20,0,0.1,0.1,11
1986,ANADIA,"AVELÃS DE CAMINHO",1986/10/07,21,20,1986/10/07,22,30,0,0.1,0.1,12
1986,AGUEDA,AGUEDA,1986/10/07,11,10,1986/10/07,12,15,0.1,0.1,0.2,12
1986,ALBERGARIA-A-VELHA,"S JOÃO DE LOURE",1986/10/07,16,45,1986/10/07,17,56,0,0.1,0.1,12
1986,ANADIA,SANGALHOS,1986/10/06,20,50,1986/10/06,22,0,0,0.1,0.1,12
1986,"SÃO PEDRO DO SUL","SANTA CRUZ DA TRAPA",1986/10/06,8,30,1986/10/06,11,30,2.5,2.5,5,12
1986,AGUEDA,AGUEDA,1986/10/06,13,10,1986/10/06,14,15,0,0.1,0.1,12
1986,"SÃO PEDRO DO SUL","SANTA CRUZ DA TRAPA",1986/10/05,11,20,1986/10/05,12,20,0,0,0,12
1986,AVEIRO,NARIZ,1986/10/05,2,10,1986/10/05,3,20,0,0.1,0.1,12
1986,ANADIA,SANGALHOS,1986/10/05,18,30,1986/10/05,20,0,0,0.1,0.1,12
1986,OVAR,ESMORIZ,1986/10/05,23,20,1986/10/05,23,50,0.1,0.1,0.2,12
1986,AVEIRO,ARADAS,1986/10/05,10,30,1986/10/05,11,20,0,0.1,0.1,12
1986,MANGUALDE,MANGUALDE,1986/10/05,16,50,1986/10/05,17,50,0,0.1,0.1,12
1986,MEALHADA,VACARICA,1986/10/05,15,20,1986/10/05,16,30,0,0.1,0.1,12
1986,"OLIVEIRA DO BAIRRO","OLIVEIRA DO BAIRRO",1986/10/05,17,50,1986/10/05,18,40,0,0.1,0.1,12
1986,SABUGAL,MALCATA,1986/10/05,10,43,1986/10/05,12,15,0.5,0,0.5,12
1986,COIMBRA,ANTANHOL,1986/10/05,13,40,1986/10/05,16,45,1,1,2,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/10/05,10,0,1986/10/05,10,45,0,0.1,0.1,12
1986,"SÃO PEDRO DO SUL","SANTA CRUZ DA TRAPA",1986/10/05,5,0,1986/10/05,7,0,1,0,1,12
1986,CANTANHEDE,ANÇÃ,1986/10/05,14,45,1986/10/05,15,0,0.5,0.5,1,12
1986,"SÃO PEDRO DO SUL","SANTA CRUZ DA TRAPA",1986/10/04,13,0,1986/10/04,14,30,0.5,0,0.5,12
1986,MEALHADA,LUSO,1986/10/03,10,45,1986/10/03,11,30,0,0.1,0.1,12
1986,COIMBRA,LAMAROSA,1986/10/03,14,25,1986/10/03,19,0,29,0,29,12
1986,AGUEDA,AGUEDA,1986/10/03,14,5,1986/10/03,14,45,0,0.1,0.1,12
1986,CANTANHEDE,CADIMA,1986/10/03,15,15,1986/10/03,16,0,0.1,0,0.1,12
1986,AVEIRO,"VERA CRUZ",1986/10/03,14,55,1986/10/03,16,0,0,0.1,0.1,12
1986,MONTEMOR-O-VELHO,CARAPINHEIRA,1986/10/03,9,0,1986/10/03,11,0,0,0.1,0.1,12
1986,ANADIA,ARCOS,1986/10/03,8,45,1986/10/03,10,0,0,0.1,0.1,12
1986,"VILA NOVA DE PAIVA",PENDILHE,1986/10/03,18,35,1986/10/03,21,45,0,0.8,0.8,12
1986,VOUZELA,ALCOFRA,1986/10/02,12,30,1986/10/02,14,30,0.5,0,0.5,12
1986,CINFÃES,MOIMENTA,1986/10/02,15,5,1986/10/02,16,25,0,0.5,0.5,12
1986,"MOIMENTA DA BEIRA",ARIZ,1986/10/02,12,30,1986/10/02,13,55,0,1,1,12
1986,"OLIVEIRA DO HOSPITAL",ERVEDAL,1986/10/02,13,30,1986/10/02,17,0,0,10,10,12
1986,"OLIVEIRA DO HOSPITAL",ERVEDAL,1986/10/02,19,15,1986/10/02,20,45,0,0,0,12
1986,"S JOÃO DA PESQUEIRA","PAREDES DA BEIRA",1986/10/02,12,30,1986/10/02,16,40,3,0,3,12
1986,CONDEIXA-A-NOVA,SEBAL,1986/10/01,9,48,1986/10/01,10,48,0,0.1,0.1,12
1986,OURIQUE,"SANTANA DA SERRA",1986/10/01,17,15,1986/10/01,19,35,1,0,1,12
1986,OURIQUE,"SANTANA DA SERRA",1986/10/01,12,30,1986/10/01,17,0,18,0,18,10
1986,COIMBRA,ANTUZEDE,1986/10/01,20,0,1986/10/01,21,0,0,0.1,0.1,12
1986,OURIQUE,PANOIAS,1986/10/01,15,50,1986/10/01,20,50,15,0,15,12
1986,"VILA NOVA DE FOZ COA",NUMÃO,1986/10/01,16,30,1986/10/02,18,30,0,2,2,12
1986,SOURE,ALFARELOS,1986/09/30,0,30,1986/09/30,2,15,0.5,0.5,1,12
1986,OVAR,ESMORIZ,1986/09/30,16,5,1986/09/30,17,5,0.1,0.1,0.2,12
1986,SERNANCELHE,SARZEDA,1986/09/30,12,30,1986/09/30,18,15,3,6,9,12
1986,POMBAL,"SANTIAGO DE LITEM",1986/09/30,19,45,1986/09/30,20,45,0.7,0,0.7,12
1986,MIRA,MIRA,1986/09/30,10,35,1986/09/30,12,0,0,0.1,0.1,12
1986,"SÃO PEDRO DO SUL","SANTA CRUZ DA TRAPA",1986/09/30,2,10,1986/09/30,4,0,1,0,1,12
1986,COVILHÃ,TEIXOSO,1986/09/30,14,45,1986/09/30,16,0,0,1,1,12
1986,"SÃO PEDRO DO SUL",CARVALHAIS,1986/09/30,18,15,1986/09/30,20,15,0,1,1,12
1986,"FIGUEIRA DA FOZ",LAVOS,1986/09/30,13,30,1986/09/30,16,0,0.5,0.5,1,12
1986,CANTANHEDE,FEBRES,1986/09/30,10,10,1986/09/30,11,0,0,0.1,0.1,12
1986,SEIA,"SÃO ROMÃO",1986/09/30,13,10,1986/09/30,14,30,1,0,1,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/30,7,20,1986/09/30,8,20,0,0.1,0.1,12
1986,COIMBRA,"SANTO ANTONIO DOS OLIVAIS",1986/09/30,14,30,1986/09/30,16,0,0.2,0.3,0.5,12
1986,ANADIA,MOITA,1986/09/30,11,5,1986/09/30,12,0,0,0.4,0.4,12
1986,BELMONTE,CARIA,1986/09/30,15,0,1986/09/30,17,0,1,1,2,12
1986,TRANCOSO,GUILHEIRO,1986/09/30,12,30,1986/09/30,16,30,0,5,5,12
1986,ILHAVO,"ILHAVO(SÃO SALVADOR)",1986/09/30,10,30,1986/09/30,11,0,0,1,1,12
1986,ANSIÃO,"SANTIAGO DA GUARDA",1986/09/29,13,30,1986/09/29,15,0,0,0.1,0.1,1
1986,"MIRANDA DO CORVO",SEMIDE,1986/09/29,8,45,1986/09/29,9,15,0.5,0,0.5,12
1986,"FIGUEIRA DA FOZ",BUARCOS,1986/09/29,16,15,1986/09/29,17,0,0.1,0.1,0.2,12
1986,ANADIA,"AVELÃS DE CIMA",1986/09/29,13,10,1986/09/29,13,35,0,0.2,0.2,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/29,11,0,1986/09/29,11,35,0,0.2,0.2,12
1986,ANADIA,"AMOREIRA DA GANDARA",1986/09/29,13,45,1986/09/29,14,20,0,0.1,0.1,12
1986,FUNDÃO,"SOUTO DA CASA",1986/09/29,12,0,1986/09/29,15,30,6,2,8,12
1986,GOIS,GOIS,1986/09/29,9,15,1986/09/29,16,15,2,0,2,12
1986,ANADIA,"AVELÃS DE CIMA",1986/09/29,14,20,1986/09/29,15,0,0,0.2,0.2,12
1986,COVILHÃ,VERDELHOS,1986/09/29,11,3,1986/09/29,12,45,0,0.1,0.1,12
1986,"VILA NOVA DE POIARES",ARRIFANA,1986/09/29,13,50,1986/09/29,16,30,0.2,0.2,0.4,12
1986,ALBERGARIA-A-VELHA,ALBERGARIA-A-VELHA,1986/09/29,21,15,1986/09/29,21,35,0,0.1,0.1,12
1986,ALBERGARIA-A-VELHA,ALQUERUBIM,1986/09/29,13,27,1986/09/29,14,50,0,0.2,0.2,12
1986,CANTANHEDE,BOLHO,1986/09/29,15,15,1986/09/29,16,15,0,5,5,12
1986,VISEU,FAIL,1986/09/29,12,45,1986/09/29,16,0,0,2,2,12
1986,COIMBRA,"SANTO ANTONIO DOS OLIVAIS",1986/09/29,8,45,1986/09/29,9,5,0.5,0,0.5,12
1986,MEALHADA,LUSO,1986/09/29,0,30,1986/09/29,1,0,0,0.2,0.2,12
1986,"FIGUEIRA DA FOZ",BUARCOS,1986/09/28,19,15,1986/09/28,20,25,0,1,1,12
1986,MEALHADA,LUSO,1986/09/28,23,20,1986/09/29,0,15,0,0.1,0.1,12
1986,COIMBRA,"SANTO ANTONIO DOS OLIVAIS",1986/09/28,16,4,1986/09/28,19,19,1.6,1,2.6,12
1986,MIRA,MIRA,1986/09/28,17,35,1986/09/28,18,30,0,0.1,0.1,12
1986,"SANTA COMBA DÃO","SÃO JOÃO DE AREIAS",1986/09/28,13,50,1986/09/28,15,0,0.3,0.7,1,12
1986,GOUVEIA,ARCOZELO,1986/09/28,15,0,1986/09/28,15,35,1,1,2,12
1986,AGUEDA,"VALONGO DO VOUGA",1986/09/28,14,35,1986/09/28,15,15,0,0.1,0.1,12
1986,ANADIA,"AVELÃS DE CIMA",1986/09/28,20,50,1986/09/28,22,0,0,0.4,0.4,12
1986,"FIGUEIRA DA FOZ",BRENHA,1986/09/28,4,0,1986/09/28,4,40,0,0.1,0.1,12
1986,ILHAVO,"ILHAVO(SÃO SALVADOR)",1986/09/28,23,20,1986/09/29,0,50,0,0.1,0.1,12
1986,PENELA,ESPINHAL,1986/09/28,19,30,1986/09/28,23,0,0.1,0.1,0.2,12
1986,POMBAL,"SANTIAGO DE LITEM",1986/09/28,14,0,1986/09/28,15,45,0.5,0,0.5,12
1986,SABUGAL,SABUGAL,1986/09/28,19,32,1986/09/28,21,0,0,1,1,12
1986,"VILA NOVA DE PAIVA","VILA COVA A COELHERA",1986/09/28,17,0,1986/09/28,18,45,0,1,1,12
1986,ILHAVO,"ILHAVO(SÃO SALVADOR)",1986/09/28,1,25,1986/09/28,2,15,0,2,2,12
1986,MANGUALDE,ABRUNHOSA-A-VELHA,1986/09/28,13,15,1986/09/28,16,0,0,5,5,12
1986,SERNANCELHE,CUNHA,1986/09/28,16,55,1986/09/28,19,15,0,2,2,12
1986,"MIRANDA DO CORVO","MIRANDA DO CORVO",1986/09/28,14,0,1986/09/28,16,30,0.1,0.1,0.2,12
1986,FUNDÃO,"VALE DE PRAZERES",1986/09/28,10,0,1986/09/28,11,45,0,1.5,1.5,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/27,13,45,1986/09/27,14,5,0,0.1,0.1,12
1986,"OLIVEIRA DO HOSPITAL","SÃO GIÃO",1986/09/27,16,50,1986/09/27,18,0,0.5,0,0.5,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/27,13,15,1986/09/27,14,0,0,1.5,1.5,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/27,14,25,1986/09/27,15,0,0,0.1,0.1,10
1986,POMBAL,"SANTIAGO DE LITEM",1986/09/27,1,30,1986/09/27,2,30,0,0.1,0.1,12
1986,TONDELA,CASTELOES,1986/09/27,16,5,1986/09/27,16,40,0,0.1,0.1,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/27,13,10,1986/09/27,13,30,0,0.1,0.1,10
1986,ANADIA,ARCOS,1986/09/27,17,30,1986/09/27,18,45,0,0.1,0.1,12
1986,SEIA,PARANHOS,1986/09/27,14,0,1986/09/27,14,50,0.5,0.5,1,12
1986,COVILHÃ,DOMINGUIZO,1986/09/27,16,0,1986/09/27,18,40,0.5,1.5,2,12
1986,POMBAL,"SÃO SIMÃO DE LITEM",1986/09/27,17,50,1986/09/27,19,10,0.1,0,0.1,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/26,17,50,1986/09/26,20,0,6,0,6,12
1986,"CASTRO DAIRE",CABRIL,1986/09/26,21,0,1986/09/26,22,45,0,0.5,0.5,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/26,14,10,1986/09/26,14,30,0,0.1,0.1,12
1986,SOURE,SOURE,1986/09/26,20,10,1986/09/26,21,10,1,1,2,12
1986,MANGUALDE,"CUNHA BAIXA",1986/09/26,14,30,1986/09/26,16,15,0,0.1,0.1,12
1986,POMBAL,PELARIGA,1986/09/26,12,5,1986/09/26,12,50,0.2,0,0.2,1
1986,OURIQUE,OURIQUE,1986/09/26,14,45,1986/09/26,17,0,0,35,35,12
1986,TONDELA,"SANTIAGO DE BESTEIROS",1986/09/25,12,15,1986/09/25,16,0,0.1,0,0.1,12
1986,SABUGAL,RENDO,1986/09/25,15,45,1986/09/25,17,20,0,1,1,12
1986,"FIGUEIRA DA FOZ",BUARCOS,1986/09/24,21,10,1986/09/24,22,0,0,0.1,0.1,12
1986,FARO,"FARO (SÃO PEDRO)",1986/09/23,15,15,1986/09/23,16,35,0,0.1,0.1,12
1986,SILVES,"SÃO BARTOLOMEU DE MESSINES",1986/09/23,15,20,1986/09/23,16,25,0,1,1,1
1986,MONTEMOR-O-VELHO,VERRIDE,1986/09/22,15,0,1986/09/22,16,0,0,0.1,0.1,12
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/22,11,10,1986/09/22,11,45,0,0.1,0.1,12
1986,COVILHÃ,BOIDOBRA,1986/09/22,9,30,1986/09/22,11,50,0,0.5,0.5,12
1986,CANTANHEDE,CADIMA,1986/09/21,21,0,1986/09/21,21,30,0,0.1,0.1,12
1986,TRANCOSO,"TRANCOSO (SANTA MARIA)",1986/09/21,17,25,1986/09/21,17,55,0,1,1,12
1986,"MIRANDA DO CORVO","RIO VIDE",1986/09/21,1,30,1986/09/21,2,30,0.1,0,0.1,12
1986,"VILA NOVA DE POIARES","POIARES (SANTO ANDRE)",1986/09/21,14,10,1986/09/21,15,0,0.2,0,0.2,1
1986,"FIGUEIRA DA FOZ",TAVAREDE,1986/09/21,3,5,1986/09/21,4,15,0,0.1,0.1,12
1986,TABUA,"SÃO JOÃO DA BOAVISTA",1986/09/20,17,30,1986/09/20,18,15,0.1,0,0.1,12
1986,POMBAL,POMBAL,1986/09/20,23,45,1986/09/21,24,15,0,0.1,0.1,12
1986,TABUA,MIDOES,1986/09/20,3,0,1986/09/20,4,0,0,0.2,0.2,12
1986,MONTEMOR-O-VELHO,GATOES,1986/09/20,16,30,1986/09/20,17,15,0,0.1,0.1,12
1986,"MIRANDA DO CORVO","RIO VIDE",1986/09/19,22,30,1986/09/19,22,45,0,0.1,0.1,12
1986,ANSIÃO,POUSAFLORES,1986/09/19,21,0,1986/09/20,0,30,10,0,10,1
1986,"VILA DO BISPO","VILA DO BISPO",1986/09/19,16,0,1986/09/19,18,0,0,4,4,10
1986,SILVES,"SÃO BARTOLOMEU DE MESSINES",1986/09/19,16,5,1986/09/19,17,20,0,3,3,1
1986,OVAR,ESMORIZ,1986/09/19,17,40,1986/09/19,18,0,0,0.1,0.1,12
1986,MONTEMOR-O-VELHO,"SANTO VARÃO",1986/09/18,14,30,1986/09/18,15,10,0,0.1,0.1,1
1986,CANTANHEDE,COVOES,1986/09/18,10,15,1986/09/18,11,0,0,0.1,0.1,12
1986,GUARDA,"PANOIAS DE CIMA",1986/09/18,15,15,1986/09/28,16,19,0,0.8,0.8,12
1986,OLHÃO,MONCARAPACHO,1986/09/18,15,40,1986/09/18,18,20,0,1,1,1
1986,"FIGUEIRA DA FOZ","SÃO JULIÃO DA FIGUEIRA DA FOZ",1986/09/18,11,30,1986/09/18,11,45,0,0.1,0.1,12
1986,FUNDÃO,FUNDÃO,1986/09/17,8,0,1986/09/17,9,0,0,0.5,0.5,12
1986,SOURE,SOURE,1986/09/17,17,15,1986/09/17,17,50,1,0,1,12
1986,SOURE,ALFARELOS,1986/09/17,16,5,1986/09/17,16,45,0,1,1,12
1986,ANADIA,ARCOS,1986/09/17,15,50,1986/09/17,17,30,0,0.5,0.5,12
1986,ALBERGARIA-A-VELHA,VALMAIOR,1986/09/16,10,0,1986/09/16,11,30,0,1,1,12
1986,ANADIA,ARCOS,1986/09/16,16,10,1986/09/16,18,20,0,0.2,0.2,12
1986,GUARDA,"PERO SOARES",1986/09/14,12,30,1986/09/14,14,10,0.5,4,4.5,12
1986,COIMBRA,TAVEIRO,1986/09/14,4,10,1986/09/14,4,30,0,0.1,0.1,12
1986,"MIRANDA DO CORVO","VILA NOVA",1986/09/13,13,40,1986/09/13,14,30,0,0.1,0.1,12
1986,ARGANIL,"SÃO MARTINHO DA CORTIÇA",1986/09/13,12,0,1986/09/13,23,0,0.5,0,0.5,12
1986,SABUGAL,RENDO,1986/09/13,18,12,1986/09/13,19,20,0,0.5,0.5,12
1986,POMBAL,CARNIDE,1986/09/13,16,20,1986/09/13,17,30,1,0,1,12
1986,CANTANHEDE,CANTANHEDE,1986/09/12,13,30,1986/09/12,13,50,0.1,0,0.1,12
1986,VOUZELA,VENTOSA,1986/09/11,16,5,1986/09/11,16,55,0,0.1,0.1,13
1986,SILVES,"SÃO BARTOLOMEU DE MESSINES",1986/09/11,22,35,1986/09/11,24,0,0,1,1,12
1986,"VILA NOVA DE FOZ COA","VILA NOVA DE FOZ COA",1986/09/11,15,0,1986/09/11,18,0,2,6,8,12
1986,SILVES,"SÃO MARCOS DA SERRA",1986/09/10,6,20,1986/09/10,7,30,0,2,2,1
1986,FUNDÃO,FATELA,1986/09/10,14,25,1986/09/10,18,0,1,1,2,12
