ano,codigo_sgif,observ,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,area_arborizada,area_nao_arborizada,area_total,causa
1988,,,CABECEIRAS DE BASTO,ABADIM,1988-12-28,17:00,1988-12-28,23:30,3,0,3,10
1988,,,CABECEIRAS DE BASTO,ABADIM,1988-12-24,22:40,1988-12-24,23:55,1,0,1,10
1988,,,VIANA DO CASTELO,CARVOEIRO,1988-12-19,16:10,1988-12-19,16:30,0.3,0,0.3,10
1988,,,GOIS,GOIS,1988-12-19,20:00,1988-12-19,23:00,5,3,8,1
1988,,,PAREDES DE COURA,ROMARIGÃES,1988-11-24,14:10,1988-11-24,17:00,40,0,40,10
1988,,,PAREDES DE COURA,ROMARIGÃES,1988-11-24,14:10,1988-11-24,17:00,0.1,0,0.1,10
1988,,,ABRANTES,ABRANTES (SÃO VICENTE),1988-11-12,15:24,1988-11-12,16:24,0.1,0.1,0.2,12
1988,,,SANTAREM,PERNES,1988-11-12,19:35,1988-11-12,20:45,0.1,0,0.1,12
1988,,,SERTÃ,PEDROGÃO PEQUENO,1988-11-02,22:25,1988-11-03,0:30,0,0.1,0.1,12
1988,,,OURIQUE,OURIQUE,1988-11-01,16:00,1988-11-01,20:20,12,8,20,12
1988,,,AMARANTE,ABOADELA,1988-10-27,16:30,1988-10-28,0:30,0,50,50,12
1988,,,AMARANTE,ABOADELA,1988-10-26,17:00,1988-10-26,19:30,0,10,10,12
1988,,,AMARANTE,ABOADELA,1988-10-25,18:00,1988-10-25,23:30,0,45,45,12
1988,,,SABUGAL,POUSAFOLES DO BISPO,1988-10-12,10:40,1988-10-12,14:23,0,6,6,12
1988,,,FIG CASTELO RODRIGO,ESCALHÃO,1988-10-12,13:44,1988-10-12,18:55,0,2,2,12
1988,,,MAFRA,OUTRAS,1988-10-12,16:30,1988-10-12,17:20,0,0.1,0.1,12
1988,,,VAGOS,VAGOS,1988-10-12,9:30,1988-10-12,10:15,0,0.1,0.1,12
1988,,,PENEDONO,PENELA DA BEIRA,1988-10-12,17:00,1988-10-12,19:15,0,2,2,12
1988,,,SABUGAL,RENDO,1988-10-12,12:15,1988-10-12,16:13,0,2,2,12
1988,,,ABRANTES,MOURISCAS,1988-10-12,19:55,1988-10-12,20:20,0.1,0,0.1,12
1988,,,SABUGAL,QUINTAS DE SÃO BARTOLOMEU,1988-10-12,8:56,1988-10-12,10:00,0,0.5,0.5,12
1988,,,FIG CASTELO RODRIGO,QUINTA DE PERO MARTINS,1988-10-12,5:50,1988-10-12,16:55,0,1.5,1.5,12
1988,,,PENAMACOR,MEIMÃO,1988-10-12,23:00,1988-10-13,1:30,1,1,2,12
1988,,,PENAMACOR,OUTRAS,1988-10-12,20:18,1988-10-12,20:50,0,1,1,12
1988,,,CASTELO BRANCO,CASTELO BRANCO,1988-10-12,18:25,1988-10-12,18:55,0,0.1,0.1,12
1988,,,FIGUEIRA DA FOZ,ALHADAS,1988-10-12,17:30,1988-10-12,18:30,0.1,0.1,0.2,12
1988,,,BELMONTE,CARIA,1988-10-12,21:30,1988-10-12,23:00,0.5,0.5,1,12
1988,,,MEDA,OUTEIRO DE GATOS,1988-10-11,21:15,1988-10-12,2:00,0,5,5,12
1988,,,OVAR,OVAR,1988-10-11,21:49,1988-10-11,22:19,0,0.1,0.1,12
1988,,,MAFRA,OUTRAS,1988-10-11,16:20,1988-10-11,17:05,0,0.1,0.1,12
1988,,,VILA NOVA DE FOZ COA,ALMENDRA,1988-10-11,15:16,1988-10-11,19:10,0,1,1,12
1988,,,FIG CASTELO RODRIGO,ESCALHÃO,1988-10-11,20:55,1988-10-12,1:00,0,4,4,12
1988,,,CONSTANCIA,SANTA MARGARIDA DA COUTADA,1988-10-11,12:07,1988-10-11,12:28,0.1,0,0.1,12
1988,,,MIRANDA DO CORVO,MIRANDA DO CORVO,1988-10-11,0:30,1988-10-11,1:00,0.2,0.1,0.3,12
1988,,,SARDOAL,SARDOAL,1988-10-11,14:13,1988-10-11,15:03,0.1,0.1,0.2,12
1988,,,BELMONTE,OUTRAS,1988-10-11,19:25,1988-10-11,21:00,0,0.5,0.5,12
1988,,,CASTELO BRANCO,CASTELO BRANCO,1988-10-11,16:00,1988-10-11,17:00,0.5,1,1.5,12
1988,,,IDANHA-A-NOVA,OUTRAS,1988-10-11,15:45,1988-10-11,19:00,0.5,0.5,1,12
1988,,,CASTELO BRANCO,SALGUEIRO DO CAMPO,1988-10-11,14:15,1988-10-11,15:45,0,0.1,0.1,12
1988,,,GOLEGÃ,GOLEGÃ,1988-10-11,15:33,1988-10-11,16:12,0,0.5,0.5,12
1988,,,CASTRO DAIRE,CABRIL,1988-10-10,21:30,1988-10-10,22:30,0.5,0.5,1,12
1988,,,CELORICO DE BASTO,CANEDO DE BASTO,1988-10-10,13:00,1988-10-10,20:30,0,1,1,12
1988,,,OVAR,OVAR,1988-10-10,0:15,1988-10-10,0:40,0,0.1,0.1,12
1988,,,CASTRO DAIRE,CABRIL,1988-10-10,15:20,1988-10-10,17:30,0,0.1,0.1,12
1988,,,BARCELOS,S PEDRO-ALVITO,1988-10-10,17:00,1988-10-10,18:05,0,0.1,0.1,12
1988,,,GOUVEIA,GOUVEIA (SÃO JULIÃO),1988-10-10,0:50,1988-10-10,1:45,0,3,3,12
