codigo_sgif,observ,codigo_rc,distrito,concelho,freguesia,area_arborizada,area_nao_arborizada,dia_semana,reacendimento,causa,data_inicio,hora_inicio,primeira_intervencao,data_fim,hora_fim
AG00416,,RC15000006,FARO,SILVES,SILVES,0,0.15,3,,DES,1995-12-26,17:05:00,,1995-12-26 18:10:00,18:10:00
AG00415,,RC15000007,FARO,V.BISPO,BUDENS,0,1,6,,DES,1995-11-24,20:05:00,,1995-11-24 21:30:00,21:30:00
AG00414,,RC15000007,FARO,V.BISPO,V.BISPO,0,0.02,5,,DES,1995-11-23,17:05:00,,1995-11-23 18:10:00,18:10:00
AG00413,,RC15000005,FARO,PORTIMÃO,PORTIMÃO,0,0.01,5,,DES,1995-11-23,15:11:00,,1995-11-23 16:56:00,16:56:00
AG00412,,RC15000015,FARO,TAVIRA,STª.C.F.BISPO,0,0.03,4,,DES,1995-11-22,19:12:00,,1995-11-22 20:19:00,20:19:00
AG00411,,RC15000001,FARO,ALJEZUR,ALJEZUR,0,0.02,2,,DES,1995-11-13,19:05:00,,1995-11-13 20:14:00,20:14:00
AG00410,,RC15000010,FARO,LOULE,SALIR,0.1,0,4,,DES,1995-11-08,12:05:00,,1995-11-08 15:00:00,15:00:00
AG00409,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.002,0,4,,DES,1995-11-08,13:01:00,,1995-11-08 14:10:00,14:10:00
AG00408,,RC15000004,FARO,MONCHIQUE,ALFERCE,0.5,0,6,,DES,1995-11-03,14:45:00,,1995-11-03 17:45:00,17:45:00
AG00407,,RC15000010,FARO,LOULE,SALIR,0,0.05,5,,DES,1995-10-30,15:57:00,,1995-10-30 17:30:00,17:30:00
AG00406,,RC15000013,FARO,ALCOUTIM,MARTIM LONGO,0,0.5,1,,DES,1995-10-25,17:30:00,,1995-10-25 18:55:00,18:55:00
AG00405,,RC15000006,FARO,SILVES,S.M.SERRA,0,0.01,7,,DES,1995-10-28,15:35:00,,1995-10-28 16:30:00,16:30:00
AG00404,,RC15000014,FARO,C.MARIM,C.MARIM,0,0.005,6,,DES,1995-10-27,18:31:00,,1995-10-27 19:30:00,19:30:00
AG00403,,RC15000010,FARO,LOULE,AMEIXIAL,0,1,4,,DES,1995-10-25,14:15:00,,1995-10-25 18:25:00,18:25:00
AG00402,,RC15000014,FARO,C.MARIM,AZINHAL,0,0.015,2,,DES,1995-10-23,17:00:00,,1995-10-23 18:40:00,18:40:00
AG00401,,RC15000015,FARO,TAVIRA,STª.C.F.BISPO,0,0.05,2,,DES,1995-10-23,07:27:00,,1995-10-23 08:35:00,08:35:00
AG00400,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,3,0,1,,DES,1995-10-22,15:20:00,,1995-10-23 21:00:00,21:00:00
AG00399,,RC15000011,FARO,OLHÃO,MONCARAPACHO,0,0.3,1,,DES,1995-10-22,15:45:00,,1995-10-22 18:30:00,18:30:00
AG00398,,RC15000001,FARO,ALJEZUR,ALJEZUR,0,0.05,1,,DES,1995-10-22,18:10:00,,1995-10-22 19:30:00,19:30:00
AG00397,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.5,0,1,,DES,1995-10-22,17:10:00,,1995-10-22 20:30:00,20:30:00
AG00396,,RC15000006,FARO,SILVES,S.B.MESSINES,0,0.005,1,,DES,1995-10-22,18:45:00,,1995-10-22 19:20:00,19:20:00
AG00395,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,0.03,0,7,,DES,1995-10-21,22:24:00,,1995-10-21 23:49:00,23:49:00
AG00394,,RC15000004,FARO,MONCHIQUE,MONCHIQUE,1,0,7,,DES,1995-10-21,16:43:00,,1995-10-21 19:12:00,19:12:00
AG00393,,RC15000014,FARO,C.MARIM,C.MARIM,0,0.01,6,,DES,1995-10-20,19:13:00,,1995-10-20 20:20:00,20:20:00
AG00392,,RC15000014,FARO,C.MARIM,C.MARIM,0,1,6,,DES,1995-10-20,18:30:00,,1995-10-20 20:00:00,20:00:00
AG00391,,RC15000001,FARO,ALJEZUR,ROGIL,1,0,6,,DES,1995-10-20,17:24:00,,1995-10-20 19:20:00,19:20:00
AG00390,,RC15000016,FARO,V.R.S.ANTº.,M.GORDO,0,0.005,5,,DES,1995-10-19,11:57:00,,1995-10-19 12:45:00,12:45:00
AG00389,,RC15000015,FARO,TAVIRA,STª.C.F.BISPO,0,0.05,4,,DES,1995-10-18,15:20:00,,1995-10-18 17:20:00,17:20:00
AG00388,,RC15000014,FARO,C.MARIM,C.MARIM,0,3,4,,DES,1995-10-18,12:28:00,,1995-10-18 14:30:00,14:30:00
AG00387,,RC15000009,FARO,FARO,ESTOI,1,0,2,,DES,1995-10-16,09:49:00,,1995-10-16 11:55:00,11:55:00
AG00386,,RC15000014,FARO,C.MARIM,ODELEITE,0,1,1,,DES,1995-10-15,14:49:00,,1995-10-15 17:15:00,17:15:00
