codigo_sgif,distrito,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,reacendimento,area_povoamento,area_mato,area_total,causa
AT0001,Setúbal,Sines,Sines,1998-01-06,18:22:00,1998-01-06,19:15:00,,0.001,0,0.001,
RO2142,Setúbal,Seixal,Arrentela,1998-01-06,14:39:00,1998-01-06,16:35:00,,0,0.0005,0.0005,
DM01000624,Porto,Amarante,Aboadela,1998-01-10,14:30:00,1998-01-10,17:00:00,,0,4,4,
DM01000655,Porto,Marco de Canavezes,Manhuncelos,1998-01-10,19:05:00,1998-01-10,21:05:00,,0,0.05,0.05,
DM01000679,Porto,Paredes,Lordelo,1998-01-10,23:45:00,1998-01-11,00:05:00,,0,0.01,0.01,
DM01001623,Porto,Póvoa de Varzim,Rates,1998-01-10,01:02:00,1998-01-10,02:55:00,,0,0.2,0.2,
DM02000485,Braga,Póvoa de Lanhoso,Serzedelo,1998-01-10,11:20:00,1998-01-10,12:35:00,,0,1,1,
DM02001143,Braga,Terras de Bouro,Souto,1998-01-10,23:15:00,1998-01-11,03:00:00,,0,2,2,
DM03000431,Viana do Castelo,Viana do Castelo,Montaria,1998-01-10,17:30:00,1998-01-10,20:10:00,,0,0.2,0.2,
DM03000438,Viana do Castelo,Valença,Sanfins,1998-01-10,20:55:00,1998-01-10,23:00:00,,0,3,3,
DM05000467,Aveiro,Oliveira de Azeméis,Ossela,1998-01-10,12:30:00,1998-01-10,13:40:00,,0,0.06,0.06,
BI01300001,Castelo Branco,Fundão,Alpedrinha,1998-01-21,16:10:00,1998-01-21,18:00:00,,0,2,2,
DM01001508,Porto,Paredes,Aguiar de Sousa,1998-01-21,19:20:00,1998-01-21,20:20:00,,0,0.03,0.03,
AG0001,Faro,São Brás de Alportel,São Brás de Alportel,1998-01-25,16:20:00,1998-01-25,17:30:00,,0.005,0,0.005,Desc.
RO2143,Setúbal,Palmela,Quinta do Anjo,1998-01-25,18:55:00,1998-01-25,19:25:00,,0,0.003,0.003,
BL0500503,Leiria,Leiria,Leiria,1998-01-26,14:55:00,1998-01-26,15:15:00,,0,0.01,0.01,
BL0300162,Aveiro,Ovar,Ovar,1998-01-27,14:16:00,1998-01-27,15:37:00,,0,0.3,0.3,
BI0700991,Guarda,Fornos de Algodres,Figueiró da Granja,1998-01-28,14:50:00,1998-01-28,15:20:00,,0,0.001,0.001,
BL0303560,Aveiro,Aveiro,Oliveira,1998-01-29,15:22:00,1998-01-29,16:28:00,,0,0.01,0.01,
BI01300002,Castelo Branco,Sertã,Sertã,1998-01-30,16:22:00,1998-01-30,18:02:00,,0.5,0,0.5,
BL0300016,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,1998-01-30,19:48:00,1998-01-30,20:10:00,,0,0.02,0.02,
BL0500001,Coimbra,Figueira da Foz,Lavos,1998-01-30,18:45:00,1998-01-30,19:08:00,,0,0.01,0.01,
DM01002230,Porto,Penafiel,Canelas,1998-01-31,18:05:00,1998-01-31,19:15:00,,0,0.2,0.2,
DM01005539,Porto,Vila Nova de Gaia,Oliveira do Douro,1998-01-31,12:20:00,1998-01-31,13:15:00,,0,0.1,0.1,
